no,name,category,description,member_count,day,period,room,3d_modeling,AI,STEM,academic,academic_support,aerospace,algorithms,animal_welfare,anime,anthropology,astronomy,badminton,baseball,basketball,billiards,biology,board_games,business,charity,cheerleading,chemistry,chinese_culture,climbing,coffee,community_service,competition,computer_science,craftsmanship,creative_arts,culture,cybersecurity,cycling,dance,data_science,debate,design,dodgeball,drones,economics,engineering,entrepreneurship,environment,equestrian,experiments,fashion,fencing,figure_skating,film,finance,fitness,food,football,forensic_science,frisbee,game_development,gaming,gender_studies,geography,geology,golf,hands_on,health,history,hobbies,humanities,investment,journalism,language_learning,law,linguistics,literature,machine_learning,magic,mahjong,martial_arts,math,media,medicine,mental_health,meteorology,motorsport,music,nutrition,outdoor_sports,peer_support,performing_arts,personal_growth,philosophy,photography,physics,pickleball,politics,programming,psychology,racquet_sports,rc_racing,religion,research,rhythm_games,robotics,rowing,running,scuba_diving,skiing,social_sciences,speedcubing,sports,strategy,swimming,table_tennis,tcg,tchoukball,teaching,team_sports,technology,tennis,theater,visual_arts,voice_acting,volleyball,volunteer,water_sports,web_development,wellness,winter_sports,writing,yoga
11,Apeiron PhyX,ACADEMIC Natural sciences,"We are a physics club that aims to teach students computational physics content in a more accessible way. Also, we will hold discussions between students and physics experts to help them understand cutting-edge knowledge. Lastly, we plan to partner with other ECAs to gather SCIE students who love math and science, and organize various activities.",1,tuesday,period11,A510,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Apex Racing,SOCIAL Interests and hobbies,"Starting and evolving from SCIE RC Racing Club last year, Apex Racing is a brand new and fully developed RC racing team, that not only focus on engineering and racing, but also teamwork, collaboration skills, and abilities to adapt to new tasks. We need more than tech geeks, finance and public media department needs much more members to join us and fight together. In the ECA we are going to form a real racing team, with its typical structure. Members will have hand-on experience of dealing with a racing season, from the start with preparations, to the end winning the grand prize. During practice, everyone will have the opportunity to drive the 1/10 Touring Car to perform tasks, achieve standard lap time, and learn from the ECA leader about all technical knowledge related to RC racing cars. These knowledges can also be used on real cars. Furthermore, all spendings and costs during the season will rely on sponsors, and thus members do not need to pay for any additional material costs. In collaboration with other ECAs, we will be studying for all ranges of information. Feel free to join and enjoy a wonderful journey with professional Remote controlled cars.",1,friday,period11,A207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,Arts and Sciences,ACADEMIC Others,"Formerly Introduction to Architecture, we broaden the content and aim to dismantle the traditional barriers between STEM and the Arts. Inspired by the interdisciplinary mindset championed by top universities like Harvard and Cambridge, we create a platform where members explore the connection between diverse fields like art, science, history, and technology. We hold lectures, discussions and hands-on activities, displaying our members’ work through an exhibition. Our curriculum includes learning foundational modelling skills (Blender, Rhino) and engaging in themed interdisciplinary lectures and experiments. We provide a collaborative and 100% English environment where beginners can master modelling tools, exchange ideas, and broaden their horizons.",1,tuesday,period11,B524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
14,BG Lab,SOCIAL Interests and hobbies,"BG Lab is a student-led ECA that introduces members to a wide range of board game genres, mechanics, and design concepts through both gameplay and analysis. Members will have the opportunity to design and develop their own original board games from scratch, progressing from an initial idea to rules, prototypes, playtesting, and a finished product. In addition, BG Lab aims to connect members with experienced board game designers and visual artists, giving them insight into the professional board game industry and, where possible, opportunities to collaborate with professionals to further develop their own projects.",1,thursday,period11,B221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bacamera Filmmaker Club,SOCIAL Media and creative,Bacamera Filmmaker Club focuses on nourishing SCIEr who desire to make their own films and SCIEr who would like to systematically learn about film theories and the filmmaking process. We are the first filmmaking club that covers everything from theoretical courses and film analysis to practical experience on set in SCIE.,1,thursday,period11,A215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Baseball New Wave,SPORTS,Baseball,1,friday,period13,A510,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Basketball Development Centre,SPORTS,Will provide students with proper and systematic trainning sessions to help them develop personal skills and team work skills. Foster possible players for the FOBISIA tournament.,0,friday,period11,H100A,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,BioBío,ACADEMIC Natural sciences,"The Biobío club is a student-led extracurricular activity dedicated to exploring biology through hands-on activities, field observation, and interdisciplinary projects. Rather than focusing on lectures or examination preparation, the club aims to make biology engaging and relevant to everyday life. Activities will include campus biodiversity surveys, species identification, and investigations into the biology behind familiar experiences such as plant pigments, fragrances, food, and nutrition. By connecting ecology, environmental science, molecular biology, and nutrition, members will explore the diversity of biological sciences while developing their own interests. The club welcomes students with different levels of biological knowledge and encourages curiosity, collaboration, and independent exploration.",1,wednesday,lunchtime,B534,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,BioChem Experiment club,ACADEMIC Natural sciences,Do extended experiments in school lab. Our club may use chemistry lab room at floor 8.,1,tuesday,period11,B815,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,BioChem Fever,ACADEMIC Natural sciences,"BioChem Fever is a student-led club designed to ignite curiosity and creativity in the fields of biology and chemistry. Our activities combine hands-on experiments, scientific discussions, and problem-based projects to help members deepen their understanding of the natural sciences beyond the classroom. The club will cover molecular biology, biochemistry, and applications in biotechnology, giving students the opportunity to explore fascinating topics such as enzyme activity, synthetic biology, and environmental applications of biochemistry. By integrating practical experiments with theory, members will gain confidence in experimental design, data analysis, and scientific communication. BioChem Fever aims to be both educational and enjoyable, cultivating teamwork and inspiring future scientists.",3,friday,period11,B526,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brew Isle,SOCIAL Interests and hobbies,"Brew Isle is a place where we, with enthusiasm in coffee, brew coffee, taste coffee and discuss about coffee. The main focus is on hand-brewed coffee and boutique coffee. We discuss topics including origins, varieties, process methods, brewing techniques and so on. Every member here is free to share their unique thought with others, while discovering new knowledge about coffee.",1,thursday,period11,A402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Bureau of Unexplained Affairs,SOCIAL Interests and hobbies,"This ECA is a civil‑paranormal‑phenomenon research society. We explore reported anomalous cases, including UFO sightings, cryptids such as the Loch Ness Monster, and historical supernatural folklore. Rather than confirming whether paranormal events are real, our core goal is to analyse these accounts from historical, psychological and sociological perspectives. We will study classic materials such as 《Soulstealers: The Chinese Sorcery Scare of 1768》, comparing mass panics in history with modern‑day viral supernatural rumours. Members practise critical‑thinking, source‑checking and group discussion. We evaluate eyewitness reports, media narratives and social‑psychological causes behind collective belief.",3,monday,period13,A201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Business Teaching Club,SOCIAL Volunteers and charitable projects,"The Business Teaching Club is the club that can offer members the opportunity to gain practical insights into theoretical business knowledge. Furthermore, they have the chance to express this valuable information by voluntarily teaching primary school students. Whether one is an experienced entrepreneur, an aspiring business leader, or a curious student, our club serves as a dynamic platform for expanding both their business acumen and their contributions to others' knowledge.",1,wednesday,lunchtime,A210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0
24,Business practice club,ACADEMIC Business and economics,BPC runs the annual rose selling event in the school carnival. We also work with the Harvard BPC program and train our students to be ready for the competition,5,monday,period11,A616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Cantonese linguistics,ACADEMIC Languages,"This student-led Cantonese Linguistics club focuses on the academic study of Cantonese, a vital regional language with unique phonetics, grammar and cultural value. As a native Cantonese speaker, I will lead members to explore its linguistic features, compare it with Mandarin and other Chinese dialects, discuss tone systems, vocabulary evolution and local cultural language phenomena.",6,friday,lunchtime,A613,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Chamber Music,SOCIAL Interests and hobbies,"The is an ECA of students who have high level of skills in a string or woodwind instrument play classical music together. We are a group of students who are dedicated to letting people to appreciate the beauty of classical music through our well-rehearsed performances on stage, including the openings for MUN, TED x SCIE, and Art weeks. This is an opportunity to unleash our emotions during busy school days and feel connected through playing the epic pieces composed by brilliant mind in the past, especially the pieces in the Baroque period and Romantic period. We would be contributing to the school’s vibrancy and variety while advocating the spirit of classical music as our core values.",1,monday,lunchtime,G117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ChannelKay,SOCIAL Media and creative,"Channoglkay aims to provide students in SCIE and beyond with insights into incividual experiences of SCIE seniors,focusing on their personal growth and thoughts. We also wan to help peers get use to life at SCE, putting together an Al incorporated system in which students can ask questions about life and academics at SCE.",1,monday,period11,A215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
